pdf_hash;deposit_id;tectonic_setting;pathfinder_elements;deposit_type;target_name;target_role;evidence_pages
FCD81FFC;1;TRFT;N/A;EPTL;Mogollon District Veins;MAIN;44|46|52|53|54|55
FDEA31D6;1;TARC;N/A;EPTL;Los Ricos South;MAIN;48|59
FE6C1B79;1;TARC;N/A;SKN|VMS;San Rafael;MAIN;55|59|68
FF6D816E;1;TUNK;N/A;N/A;Arlington property;MAIN;33
FF446EFD;1;TARC;N/A;EPTL|EPTI|MAN;Panuco Project;MAIN;77|82|96|97|100|101
FFCDF978;1;TARC;AG|CU|PB|ZN|BA|SB|AS|MO;EPTH|EPTI;Yaxtché;MAIN;49|51|58|60|61
004F39DA;1;TRFT;N/A;SSC;Nussir;MAIN;53
011DB75B;1;TARC;N/A;VMS;McIlvenna Bay Deposit;MAIN;98|122|123
004A897C;1;TARC;N/A;SKN|PRY|EPTI;Jasperoide;MAIN;75|77|82|94|100|102
001DC466;1;TORO;N/A;SSC;Kamoto Copper Company;MAIN;66|71
012CDCE7;1;TARC;CU|AG|AS|BI|MO|SB|HG|W|SN;EPTH|PRY;Filo del Sol;MAIN;32|47|52|54|56
0188D460;1;TARC;CU|MO|W|AG|AS|MN;BXH|PRY;Kismet;MAIN;50|76|80|93
01B9F6FB;1;TARC;CU|AG|AS|BI|MO|SB|HG|W|SN;PRY|EPTH;Filo del Sol;MAIN;36|52|53|57
01FFC76A;1;TORO;N/A;SKN;Bolivar;MAIN;50|56
01F80D49;1;TARC;MO;PRY|BXH;Nacho Zone;MAIN;15|16|17|24|25|26
02F063C7;1;TARC;AS|SB|BI|TE;VMS;Bend;MAIN;26|29|40|53
033C22C1;1;TARC;N/A;PRY;Gibraltar Deposits;MAIN;56|58|59|65
034D4472;1;TARC;MO;PRY;Yerington Mine;MAIN;43|52|54|56
03878B61;1;N/A;N/A;PRY;Berg Deposit;MAIN;20
038DC810;1;TARC;N/A;PRY;Northwest and Southeast Zones;MAIN;30|31|32|38|40
035BDD76;1;TARC;N/A;PRY|BXH;Seel;MAIN;58|62|83
035FEE53;1;TARC;N/A;PRY|SKN;Escalones;MAIN;39|52
038E5924;1;TGGT;N/A;VMS|MOX|PRY|ORO;Chapais Property;MAIN;26|29
0393E6D0;1;TARC;AS|MO|PB;PRY;Whipsaw target area;MAIN;18|20|24|30
03B26F28;1;TARC;PB|ZN;PRY|BXH;American Eagle;MAIN;32|36|37
03EBBDC3;1;TORO;BA|F|RB|PB|AG|BI|TE|CU;PRY|BXH|SKN;Allard Zone;MAIN;46|47|49|50|52
04389917;1;N/A;N/A;TLG;Cauquenes and Colihues;MAIN;29|31
04210A89;1;TORO;N/A;SSC;Kipoi Central;MAIN;43|68|69
043C20ED;1;TARC;N/A;VMS;Perlat;MAIN;22|27|30
0431F0D8;1;TUNK;IN|BI|AG|CO;VMS;Chester;MAIN;18|24|27
04547E4D;1;TSED;ZN|PB|BA|CU|AG|CO|NI;SDX;Sheep Creek;MAIN;24|30|34|36
045DB693;1;TUNK;MO|ZN|PB|NI|CO|CD|SB|AS;EPTL|PRY;Macktush Veins;MAIN;20|25|28
04C75EDD;1;TORO;CU|MO;IOC|BXH;Mount Dore;MAIN;27|28|29|38|41
0532FBF5;1;TARC;N/A;PRY;Ox Lake;MAIN;20|22
0513BF95;1;TARC;N/A;PRY;MacArthur;MAIN;47|56
05732007;1;TARC;AG|AS|CU;EPTH|PRY;Tumpangpitu;MAIN;24|35|40|48
057D9138;1;TARC;N/A;PRY;Zafranal Main zone;MAIN;63|74
05F56B50;1;TORO;CU|NI|CO;N/A;Grindstone;MAIN;18|20|32
057B3714;1;TARC;AG|PB|AS|SB|CO|ZN;SKN|PRY;Billiken;MAIN;20|21|24|25|29
05C18B9B;1;TARC;CU|MO|ZN|AG|PB;PRY|EPTI;Coles Creek;MAIN;15|17|18|31
05FEDF01;1;TARC;BA|F|RB|PB|AG|BI|TE|CU;PRY|BXH;Allard;MAIN;47|48|53|54|60
062FFCAA;1;TARC;N/A;PRY;Main Zone;MAIN;33|36|39|41|42
063F8436;1;TARC;N/A;PRY;Chitigua;MAIN;16|19
0661510D;1;TSED;N/A;SSC;Unkur;MAIN;58|66
066FD738;1;TARC;N/A;PRY|BXH;Malpica deposit;MAIN;21|31
069EC672;1;TORO;N/A;SSC;Tenke Fungurume;MAIN;41|50
0688A054;1;TARC;N/A;PRY;Cactus;MAIN;87
067DEA1B;1;TARC;N/A;PRY;Cerro Fraga Mineralized System;MAIN;59|65|69
07095125;1;TARC;MO|RE;PRY|BXH;Delta;MAIN;22|26|27|28|30
077C804C;1;TORO;N/A;VMS;Coronation Trend;MAIN;22|29|33
07B21EDD;1;TARC;N/A;PRY;Douvray;MAIN;26|29|34
078FBA34;1;TRFT;CD|CU|FE|ZN|MO|AG|PB;VMS;Yellowhead Copper Deposit;MAIN;52|58|79|82|83|87|89
0818F537;1;TUNK;MO;PRY|BXH|EPTH;Cañariaco Norte;MAIN;46|52|54|56
0820DDBD;1;TARC;N/A;PRY;Poplar Deposit;MAIN;29|35
087C2CF4;1;TARC;N/A;PRY|BXH|SKN;Sierra Gorda;MAIN;71|72|78
08FB93DB;1;TARC;N/A;EPTH|PRY;Lunahuasi;MAIN;33|35|37|46
092C4670;1;TARC;N/A;PRY|SKN|BXH;Santo Tomás;MAIN;89|93|116|117|118
092DB49E;1;TORO;BI|TE|AS|SB|CU|MO|ZN|PB|AG;PRY|SKN;Aranzazu;MAIN;44|48|52
0947B6A3;1;TGGT;N/A;ORO;Tucumã Gold Deposits;MAIN;31|32|35
09A00C34;1;TORO;N/A;SSC;Switchback Copper Silver;MAIN;31|37
0978B4D0;1;TARC;N/A;IOC;Marimaca;MAIN;47|51|53|59|60|63|75
09A137BC;1;TARC;MO;PRY;Ilovitza;MAIN;48|49|57|55|61
0A160972;1;TORO;N/A;PRY|SKN;Mount Copper;MAIN;78|79|85
0A2F3971;1;TRFT;MO|CU;PLC|PRY;El Pilar;MAIN;47|53|57
0A95289F;1;TARC;MO|ZN|MN;PRY;Zonia;MAIN;36|43
0B22154C;1;TORO;N/A;PRY|SKN;Contact Copper Project;MAIN;27|29|31|32|38|39|40
0B439B21;1;TARC;N/A;SKN;Longshot Ridge;MAIN;17|20|22
0B292532;1;TUNK;N/A;PRY|IOC;Superior;MAIN;62|63|80|81
0B5508B1;1;TARC;AG|AS|SB|BI|MN|BA|CO|U|PB|ZN|MO;PRY|EPTL;Mazamorras;MAIN;30|35|38
0BD36908;1;TARC;N/A;PRY;Eaglehead;MAIN;16|38|52
0BFBC5EB;1;TGGT;N/A;BXH|STRA;Amy Lake Zone;MAIN;18|19|26|29|30
0BFE1648;1;TORO;MO|PB|ZN|AG|MN|F|BA;PRY;Lordsburg District;MAIN;44|60|64|65|68|69|70
0C0338B9;1;TARC;N/A;PRY|EPTL|BXH;La Tuna;MAIN;11|12|14
0C43256D;1;TBAC;N/A;VMS;Lillefjell;MAIN;14|15|21|22
0C51FC2C;1;N/A;N/A;PRY;Chitigua Porphyry System;MAIN;19|20
0C1FDC7E;1;TUNK;N/A;IOC;Marimaca;MAIN;59|74
0C65B5C2;1;TARC;N/A;PRY|BXH;Caldera Project;MAIN;19|22
0DA16AA6;1;TARC;CU|MO;PRY|SKN;Anomaly Creek;MAIN;12|15|17
0C689604;1;TORO;N/A;IOC|BXH|SKN;Mont de la Brèche;MAIN;62|73|75|88|91|94
0D5213AC;1;TARC;N/A;PRY;Minto;MAIN;85|89|99|100
0DA4B3D0;1;TORO;N/A;SKN;Gunnison Deposit;MAIN;70|72|85
0DBD56E9;1;TORO;CU|CO|PB|AS|AG|NI|BA;VMS|FEL;Stanca;MAIN;43|49|50
0E6A3FF7;1;TORO;AG|AS|BI|CU|CD|MN|PB|SB|ZN|W;PRY|BXH;Casino;MAIN;27|36|37|38
0E91A884;1;TORO;BI|TE|AS|SB;PRY|SKN;Aranzazú;MAIN;53|55|56
0EA1B563;1;TORO;CU|PB|ZN|AG|MO|SB;PRY|MAN|EPTI;Espiritu Porphyry System;MAIN;19|24|27|28|36
0EF8E232;1;TARC;HG|AG|AS|CU;EPTL|PRY|BXH;Maricate-Cobremani;MAIN;11|20|23
0EAF3CF7;1;TORO;N/A;N/A;Kansanshi;MAIN;29|34|37|43
0F47E657;1;TCRA;AG|TE|BI|S|NI|CU|CL|PD;N/A;Foy Property;MAIN;5|10|32|39|41|42|44
0FB6513F;1;TGGT;N/A;ORO;Chibougamau Camp Veins;MAIN;71|84|92|101
101E95AD;1;TORO;N/A;PRY;Gneissic Bands;MAIN;23|29|35
0FD0621B;1;TARC;CU|MO|AG|W|AS|LI|BI|CO|RE;PRY;Elder Creek;MAIN;21|33|36|39|48
101F4545;1;TORO;N/A;SSC;Storm Copper showing;MAIN;33|45|47|48|49
1067EA99;1;TARC;CU|MO|PB|ZN|AG;PRY|EPTH|EPTI;El Cobre;MAIN;15|20|21|23
10AC1323;1;TARC;N/A;PRY|BXH;San Mateo;MAIN;22
10BDC441;1;TORO;N/A;PRY;East Taurus Zone;MAIN;34|39
10C3D3EB;1;TARC;PB|ZN|FE|S|MO;IOC|PRY|EPTL;Rio Grande;MAIN;30|31|41|44|46|48|54
10D3A212;1;TARC;N/A;SKN;Santa Rita pit;MAIN;28|32
112FFB6F;1;TARC;AS|BI|AG|CU|MO;PRY|ORO;Paiute;MAIN;19|24|25|26
1141E160;1;TARC;CU;ORO;Vernon Mine;MAIN;29|30|32|34
11DA36FF;1;TARC;N/A;SKN;Craigmont Mine;MAIN;21|35|36
1203A561;1;TARC;N/A;PRY;MacArthur;MAIN;41|49
11F4AC10;1;TRFT;N/A;SSC;Kamoa;MAIN;105|125|151|152
1248633F;1;TORO;CU|MO|AS|PB|ZN|MN|SB;PRY|BXH;Seel;MAIN;34|37|56|57
12897B47;1;TORO;MO;PRY;Kiseljak;MAIN;18|23|27|33
126DFDE2;1;TARC;CU|MO|PB|ZN|MN|W|HG;PRY;Jean;MAIN;14|18|21|25
12875E35;1;TARC;N/A;PRY|BXH;La Verde;MAIN;30|40
136DEF90;1;TARC;N/A;PRY|BXH;Copper Flat;MAIN;50|63|65
12EEDC5C;1;TARC;W|SN|AS|SB;PRY;Cobre Panamá;MAIN;47|57|68
13D66F48;1;TARC;N/A;EPTH|BXH|PRY;AntaKori;MAIN;32|36|37
13A3D518;1;TARC;N/A;PRY;Haib;MAIN;39
14019B27;1;TARC;N/A;PRY;Ann Mason;MAIN;98
1466E530;1;TARC;N/A;PRY;Wildcat Property;MAIN;16|17|25|27
140607B1;1;TARC;N/A;PRY|EPTH;Valeriano;MAIN;44|45|57
1421A64E;1;TORO;N/A;N/A;Munshiwemba;MAIN;26|27|30
14C34274;1;TRFT;N/A;SSC;Luisha;MAIN;13|18
1571C89E;1;TBAC;N/A;VMS;Åkervollen;MAIN;15|20|21
156C1FC6;1;TARC;N/A;SKN|EPTH;Mabilo;MAIN;109|110|118|123|124
15757D71;1;TARC;N/A;PRY;Coxheath;MAIN;33|37|40|44
158DFD00;1;TARC;N/A;VMS;McIlvenna Bay;MAIN;36|50|51
15C23680;1;TARC;N/A;PRY;Granby Zone;MAIN;14|17
15BAB1F2;1;TORO;N/A;PRY|SKN;Highland Valley Property;MAIN;18|37|38
15C39EB8;1;TGGT;N/A;ORO;Bateman Bay Mine;MAIN;35|45|54
15CFEFDB;1;TARC;N/A;PRY|SKN;East deposit;MAIN;68|75
166695F6;1;TORO;N/A;VMS|SKN|PRY;EBL;MAIN;23|26|28|29
16EC5B80;1;TRFT;AG|PB|AS;SSC;Triangle d'Argent;MAIN;37|45|82
16E5B84D;1;TARC;N/A;PRY;La Fortuna;MAIN;35|45|52|58
169FD19D;1;TARC;N/A;EPTH;Chelopech;MAIN;49|54|58
17194073;1;TARC;N/A;PRY;Maria Luisa;MAIN;26|27|37|40
1761897E;1;TARC;CU|MO|AG;PRY;Star;MAIN;44|53|59|68
177179A7;1;TARC;AS|CU;PRY|SKN;October Dome;MAIN;20|22|23|30
176D59D5;1;TORO;N/A;MNS|ORO;Tulameen Ultramafic Complex;MAIN;51|52|58|65|68|69
179EF479;1;TARC;N/A;PRY;Aguila;MAIN;10|13
17A2D48B;1;TARC;N/A;SKN;Bolivar;MAIN;25|26
17CE9C2D;1;TGGT;N/A;IOC;Corner Bay;MAIN;109|127
17CE9921;1;TORO;CU|MO|AG|AS;PRY;Pilot;MAIN;19|20|35
17F78A66;1;TORO;N/A;MAN;Kombat Mine;MAIN;24|25|33
183F01DC;1;TORO;N/A;VMS;Emba Derho;MAIN;59|60|61|82|83|84
1874E12A;1;TARC;N/A;PRY|SKN;Main Zone Porphyry;MAIN;30|31|32|33
1889B01E;1;TARC;N/A;SKN|IOC;East Deposit;MAIN;79|82|83|84|87
1976C515;1;N/A;N/A;PRY;Central Porphyry Zone;MAIN;29|34|35
19052D31;1;TORO;N/A;SSC;Caribou Dome;MAIN;21|22|25|31|39
195E0531;1;TORO;N/A;VMS|ORO;Lottie;MAIN;14|15|19
195AFFD3;1;TARC;N/A;PRY;Star;MAIN;44|53|59|62
19D97606;1;TORO;AG|CU|SE;N/A;Toro Vein System;MAIN;20|25|30
1987828B;1;TARC;CU|MO|PB|ZN|AG;PRY|EPTH|EPTI;El Cobre;MAIN;15|20|21|23
1A0CB299;1;TARC;CU|AS|AG|MO|PB|ZN|SB;PRY|SKN;Khavchig Yargait (KY);MAIN;38|39|41|42|46|52|55|66
19F79899;1;TBAC;ZN|FE;N/A;Bornite;MAIN;41|55|65
1A65FA88;1;TARC;N/A;PRY;Central Zone;MAIN;11|12|32|48
1A844DEC;1;TTRN;N/A;PRY;Lennac Lake;MAIN;45|53
1A89390C;1;TORO;N/A;N/A;Milnet 1500 zone;MAIN;46|47
1B1B83C5;1;TARC;MO|AG|PB|ZN|SN|AS|U|BI;PRY;Majuba Hill;MAIN;33|36|45|47|48|50
1B34B0FA;1;TRFT;N/A;SSC;Luishia Sud;MAIN;14|28
1B6D92AB;1;TORO;N/A;N/A;Dumbwa;MAIN;25|26|27|28|34
1B49E2D0;1;TORO;MN|AS|SB;PRY|MAN|SKN;Lustdust System;MAIN;12|14|19|20|22|23|25
1B830ECB;1;TARC;N/A;PRY;Western Porphyries;MAIN;56|65|69
1B9D624D;1;TARC;AS;PRY|BXH;North Zone;MAIN;25|29|35|37|38|39
1BB0D9F1;1;TARC;N/A;SSC;Golcuk;MAIN;27|28|29|33
1C33021F;1;TARC;N/A;PRY|SKN;Olgal;MAIN;31|33|34|40
1BD47F85;1;TARC;FE|CO|NI|BI;PRY|IOC;Don Beno;MAIN;14|17|18|19
1BF83342;1;TUNK;N/A;EPTI|PRY;Siwash Property;MAIN;33|36|37
1BF233CE;1;TARC;N/A;PRY;Zafranal Main Zone;MAIN;48|59
1C8A1908;1;TARC;N/A;PRY|BXH;Gnat Pass;MAIN;63|72|75|77
1C4271A5;1;TARC;N/A;PRY|SKN;Mal-Wen Porphyry System;MAIN;26|29
1D4B9831;1;TARC;N/A;SSC;Rio 27;MAIN;32|33|36|40|41
1D0D4AC6;1;TARC;N/A;ORO;Farellon;MAIN;23|30|33
1CE1A525;1;TARC;N/A;SKN;Santa Rita pit;MAIN;28|31
1D7816FA;1;TORO;N/A;SSC;Kuke;MAIN;13|15|16
1D8A274B;1;TORO;N/A;PRY;Skouries;MAIN;59|66
1E0F7C02;1;TARC;N/A;PRY;Rex;MAIN;33|34|39|41
1DAB9B46;1;TARC;SB|AS|HG;VMS;El Domo;MAIN;98|99|104|105|106
1E347122;1;TORO;NI|CO|CR;MNS|IOC;Pilar Mine;MAIN;70|105|106|107|108
1E641D70;1;TORO;AS;IRG|ORO|BXH;Defesa das Mercês;MAIN;32|35|37
1EFEF5B2;1;TARC;CU|MO;PRY;Mantle;MAIN;50|51
1F57D1D6;1;TARC;N/A;PRY|BXH;American Eagle/Keel;MAIN;61|64|65
1F7FA1A5;1;TARC;CU|MO|ZN|MN;PRY;Zonia;MAIN;64|71
1F846C00;1;TUNK;N/A;VMS;Neves Corvo;MAIN;23
1FE0D1CF;1;TORO;N/A;PRY|SKN;Copper Mountain;MAIN;48|55
1FFED8AF;1;TORO;N/A;VMS;T-1 Copper Deposit;MAIN;41|51|54
1FE59C52;1;TARC;PB|ZN|AG|CU|MO|BI|AS;PRY|SKN|CAR|MAN;Thompson Knolls;MAIN;35|46|47|50|52|55
20A1FA8D;1;TORO;AG|PB|ZN|CU|MO|BI|AS|SB|HG|BA;PRY|SKN|CAR|MAN;Thompson Knolls;MAIN;37|50|54|56|58|59
20A89ED6;1;TARC;N/A;PRY;Poplar Deposit;MAIN;30|36
210FE85D;1;TARC;N/A;N/A;Elenita;MAIN;26|32|33
21506A3E;1;TARC;N/A;IOC|PRY;Rio Grande;MAIN;33|40
21D98492;1;TRFT;N/A;MNS;Maturi;MAIN;110|111|152
21F453E1;1;TARC;N/A;PRY|EPTH|BXH;Bayugo;MAIN;20|25
21D7121A;1;TARC;N/A;PRY|EPTH|EPTI;Chinchillones Complex;MAIN;60|91|92
2288E024;1;TARC;AG;VMS;Escondida;MAIN;13|15
21F59780;1;TARC;N/A;VMS;Debarwa;MAIN;37|51|56|59
222391FF;1;TARC;CU|MO|ZN|MN;PRY;Zonia;MAIN;34|42
229AE0D0;1;TARC;N/A;PRY|EPTH;Hugo North Extension;MAIN;91|97|99|115
232FC67E;1;TORO;N/A;IOC;Guelb Moghrein;MAIN;37|42|43
23540996;1;TARC;N/A;VMS;Emba Derho;MAIN;24|25|26|37|38|40
23137982;1;TARC;N/A;PRY;Taca Taca;MAIN;46|49|58
237A1EE2;1;TSED;CU|CO|NI|BA|PB|ZN|AG;SDX;Sheep Creek;MAIN;33|44|49
237A5A29;1;TBAC;N/A;VMS;Tomtebo Mine;MAIN;31|34|45|46
2384097C;1;TORO;N/A;SSC;Caribou Dome;MAIN;19|20|23|25
23C43C3D;1;TARC;N/A;PRY|SKN|IOC;Copper Mountain;MAIN;35|42|43
240A358E;1;TSED;BA|AG|PB|ZN;SDX;Johnny Lee;MAIN;56|67|73
241453AB;1;TARC;N/A;PRY;Southeast Zone;MAIN;22|32
23EB0062;1;TRFT;N/A;MNS|MOX|ORO;Lansdowne House Igneous Complex;MAIN;58|81|94|95|96|98|99
24025F81;1;TUNK;CU|MO;PRY|BXH;Berta;MAIN;65|78|84|88|95|96|97
242A3764;1;TBAC;N/A;SSC;Nussir;MAIN;86|90
24367B87;1;TORO;BI|TE|AS|SB;PRY|SKN;Arroyos Azules;MAIN;45|47|48
24C70B17;1;TARC;CU|ZN|HG;VMS;Kay Mine;MAIN;5|15|26|27|29
24902640;1;TARC;N/A;PRY;Yerington Deposit;MAIN;93|94|104
254E646D;1;N/A;U;IOC;Salobo;MAIN;33|34|35|37
248354B2;1;TUNK;N/A;PRY|BXH;Cañariaco Norte;MAIN;67|77|78
25EBA9FA;1;TARC;N/A;VMS;Kona;MAIN;37|44|47
25CBE541;1;TARC;N/A;PRY;Taca Taca;MAIN;32|35|44
256FDE04;1;TARC;CU|ZN|SB|AS|MO|PB;PRY;Mount Milligan;MAIN;70|85|87
26197CAF;1;TARC;N/A;PRY|EPTH;Beskauga;MAIN;34|36|38|40|41|42
266EF03A;1;TBAC;BA|FE;SSC|MAN;El Corral;MAIN;18|23|25
262068C3;1;TARC;N/A;IOC|SKN;Pumpkin Hollow;MAIN;31|101|103|105
26C06FC9;1;TARC;N/A;PRY;Southeast Zone;MAIN;21|31|35|36
26EA3216;1;TRFT;AG|BI|MO|RE|S|SB|SE|TE;SSC;Ghanzi;MAIN;21|24|26
27461FA9;1;TARC;N/A;PRY;Valley deposit;MAIN;19|26
270360D0;1;TORO;N/A;SKN|EPTH;Empire Mine;MAIN;39|41|44|45|46|47
2742A5BB;1;TARC;N/A;PRY;Central Zone;MAIN;63|65|74
273AFB3A;1;TORO;N/A;SKN|EPTH;Empire Mine;MAIN;38|40|43|44|45|46
27C5C4F5;1;TORO;N/A;SKN|PRY;Johnson Camp Mine;MAIN;50|52|56
27F8E9FB;1;TORO;N/A;SKN|MAN;UMZ;MAIN;29|32|34
279FF237;1;TUNK;MO;PRY|EPTH;Valeriano;MAIN;34|45|46|50
2850466D;1;TARC;MO|BI|SE|TE|AS|MN|ZN;PRY;Alpala;MAIN;57|58|102|110
28B98059;1;TARC;N/A;TLG;Cauquenes and Colihues Tailings;MAIN;39|40|43
285BCFF0;1;TARC;N/A;VMS;McIlvenna Bay;MAIN;48|56|61
28BAAFEC;1;TORO;N/A;SSC;Boomgate;MAIN;30|36
28784297;1;TORO;N/A;PRY|EPTH;Oyu Tolgoi deposits;MAIN;112|115|116|117
28BF9244;1;TARC;N/A;PRY;Terry;MAIN;21|34|42
28BA8081;1;TORO;AG|BI|AS;BXH;Amy Lake Zone;MAIN;24|25|29|37|38|39|45
28E547C3;1;TARC;AS;PRY;Cathedral Area;MAIN;27|37|42|43|49
291D03B0;1;TARC;N/A;BXH;Vaquillas Mine;MAIN;46|55|61
29C62E19;1;TARC;N/A;BXH;La Guanaca;MAIN;14|16|19
2932689C;1;TARC;N/A;VMS;Shiner Zone;MAIN;14|21
2A893C12;1;TARC;N/A;EPTI;Cozamin;MAIN;62|69|71
2A08A0D0;1;TORO;CU|ZN|PB|AS;IOC|VMS;Iron Mountain Fault Zone;MAIN;68|69|70|75|76|79
2A98D528;1;TARC;N/A;N/A;Venapai;MAIN;14|16
2A93AEFC;1;TARC;N/A;PRY|SKN|MAN;Dos Amigos;MAIN;77|80
2B09FC0B;1;TORO;N/A;SKN|PRY;Sombrero Main/Nioc Project;MAIN;42|49|55
2A99EB42;1;TORO;N/A;PRY|EPTH;Hugo Dummett;MAIN;110|149|150
2B1F2E57;1;TRFT;N/A;SSC;Copperwood Deposit;MAIN;96|121|124
2B258E75;1;TARC;N/A;IOC;Santo Domingo;MAIN;39|60
2B3B4DE8;1;TRFT;N/A;IOC;Coppercorp Property IOCG;MAIN;41|43|45
2B74DF9A;1;TARC;N/A;PRY;Gibraltar Mine;MAIN;59|70
2C29F87F;1;TARC;N/A;VMS;Emba Derho;MAIN;42|43|53|54|56|61
2C8B78F3;1;TORO;N/A;MNS;Marymac;MAIN;20|26
2BA6DA0A;1;TARC;MO;PRY;Cortadera;MAIN;107|130|153
2BF77B51;1;TRFT;N/A;MNS|MOX;Lansdowne House Igneous Complex;MAIN;58|81|93|94|95|96|98
2CBCDE37;1;TGGT;N/A;VMS|ORO;B26 deposit;MAIN;31|55
2D0BFCAE;1;TGGT;CU;VMS;Blue Lake;MAIN;17|22|24|26
2CADA11E;1;TORO;N/A;N/A;Carmacks Copper deposit;MAIN;25|33
2D2353D4;1;TARC;AS|SB|SE|TL|AG|MO|HG|TE|PB|ZN;EPTL|EPTI;Crunchy Hill;MAIN;38|44|67|73
2E48EBE7;1;TORO;MN;VMS;Copper Queen;MAIN;40|45|48|49
2D62AB91;1;TARC;N/A;PRY|SKN;Spout Deposit;MAIN;47|49|56|76
2E7C4864;1;TARC;N/A;PRY;Ann Mason;MAIN;97
2EBAFD26;1;TARC;N/A;IOC;Marimaca;MAIN;36|39|56
2FBFCF2A;1;N/A;N/A;TLG;Cauquenes and Colihues;MAIN;30|32
2F48CA8E;1;TORO;CU|MO|CO|AS;PRY;Buckhorn;MAIN;16|23|31|40
2F701B56;1;TUNK;N/A;PRY|SKN;Pinto Valley;MAIN;23|26|41|45
3099DE4F;1;TORO;N/A;SKN|PRY;Jiama;MAIN;31|33|35
30BB8DD6;1;TARC;ZN|PB;PRY|BXH;Mocoa;MAIN;29|31|34|39|40
30750494;1;TORO;N/A;VMS;Nicolet Property;MAIN;36|44|45|53|72
309B8140;1;TBAC;AG|AS|SB|PB|ZN|CU|MO|BA;PRY|SKN|EPTI;Lagalochan;MAIN;34|49|51|53|54|58
30CC1623;1;TUNK;N/A;VMS;Binghampton-Copper Queen;MAIN;21|22
30E1D533;1;TARC;N/A;SKN;Bolivar;MAIN;22|23|24|25
313B0DE0;1;TARC;N/A;PRY|EPTH;Hushamu;MAIN;37|55
315AC65A;1;TRFT;N/A;SSC;Luisha South;MAIN;27|31|35
31B6E7C4;1;TARC;AS|SB|BI|W|HG|TL|AG|PB|ZN|SE;PRY|BXH|EPTL;3C deposit;MAIN;23|24|27|28|30|45|46
31D1916C;1;TPAB;MN;SSC;Samalayuca;MAIN;28|33|47|49|51
31EDC649;1;TSED;N/A;SSC;Mokambo;MAIN;41|49
31FB98BD;1;TARC;CU|MO;PRY|EPTH;Josemaría;MAIN;60|63|73|75
31FD91FE;1;TORO;N/A;SSC;Sentinel;MAIN;52|60
3208250A;1;TARC;AS|HG;PRY;Rattlesnake Creek Target;MAIN;60|62|66|67|68|70
321FCB96;1;TARC;N/A;PRY;Mount Milligan;MAIN;49|61
3249CA0A;1;TORO;N/A;VMS;Marateca;MAIN;39|40|51
327289CF;1;TARC;N/A;SKN|MAN|PRY;Yauricocha;MAIN;63|68|70|72|84
32B4F3C8;1;TARC;N/A;PRY;Grizzly Prospect;MAIN;20|22|23
32B6C32D;1;TORO;FE|CR|NI|TI;IOC;Serrote Deposit;MAIN;16|19|28
310B90D0;1;TARC;CU;VMS;Harper Creek;MAIN;48|49|65|68
33B27A47;1;TARC;N/A;PRY;Warintza Central;MAIN;36|52
33B2BE91;1;TARC;CU|MO|ZN;PRY;Valley;MAIN;37|48|53|56|58
33BF1AD1;1;TORO;N/A;IOC;Minto Deposit;MAIN;13|48|52|55
3429A200;1;TORO;CU|MO|BI|AG|U;PRY;Gold Lake;MAIN;18|19|21|28|29|30
33E3DC0A;1;TORO;CO|NI|CU|AS;ORO;Copper Prince;MAIN;13|19|20|22
3400CC6F;1;TARC;N/A;PRY;Main Zone;MAIN;53|65|80
34144819;1;TARC;N/A;PRY;Donnelly;MAIN;25|31
34BB78F2;1;TARC;N/A;PRY;Mt. Milligan;MAIN;28|34
3462679A;1;TARC;AS|CD|CO|SB|BI|AG|ZN|PB|HG|IN|TE|SE|MN|CU;VMS;Kay Deposit;MAIN;91|92|105|113|118|131|133|138
34B15861;1;TARC;N/A;PRY|IRG;Dick Creek;MAIN;33|38|42|43|44|53
3523D2F6;1;TARC;ZN|AS;PRY;Cobrasco-Comita;MAIN;44|59|66
359722A2;1;TORO;N/A;SSC;Sase Project;MAIN;26|32|33|35|37
357554E9;1;TARC;N/A;BXH|ORO;Jewelry Box;MAIN;36|39|41
36302092;1;TARC;N/A;PRY|SKN;CIM Property Porphyry Target;MAIN;14|17
35C7958E;1;TUNK;AG|MO;PRY|BXH|EPTH;Cañariaco Norte;MAIN;23|24|25|30|32|33|34|36|37
36B53299;1;TARC;N/A;PRY|SKN;Haquira;MAIN;47|56
3642F95C;1;TARC;AG|AS|BI|CU|HG|MO|S|SN|TE|W|ZN;PRY|EPTH;Hill 1835;MAIN;28|34|42|45|48|60
3637053E;1;TARC;N/A;PRY|BXH;Sierra Gorda;MAIN;40|54
36E1FFB8;1;TARC;N/A;PRY|BXH;OK Intrusive Complex;MAIN;20|22|29
3752223A;1;TARC;AG|AS|SB|K;PRY;Vizcachitas;MAIN;26|30|32
37E0A204;1;TSED;PB|ZN;SSC;Klondike;MAIN;18|25|26
371DA4F2;1;TARC;SB|AS|HG|BR;VMS;El Domo;MAIN;52|53|58|59|61|62
37E5FB33;1;TARC;N/A;PRY|IOC|SKN;Copper Mountain;MAIN;17|18|23|25|28
383E6CFF;1;TBAC;N/A;IOC|SKN;Cerro Verde;MAIN;32|33|37
38696906;1;TUNK;N/A;PRY;Rudnitza;MAIN;18
385644EB;1;TCRA;N/A;IOC;Sue-Dianne;MAIN;34|38
3883E73D;1;TARC;N/A;PRY;Regalito;MAIN;66|67|79|81
38A14904;1;TARC;N/A;PRY;Los Helados;MAIN;41|55
